county,Year,median_oxy_Result
Tuolumne,2014,8.5
Tuolumne,2015,7.75
Ventura,2010,12.96
Ventura,2011,13.58
Ventura,2012,18.97
Ventura,2013,16.41
Ventura,2014,14.1
Ventura,2015,15.329999999999998
Ventura,2016,23.02
Ventura,2017,18.29
Yolo,2010,7.31
Yolo,2011,7.55
Yolo,2012,7.915
Yolo,2013,7.904999999999999
Yolo,2014,7.025
Yolo,2015,6.125
Yolo,2016,5.95
Yolo,2017,8.26
Yuba,2010,8.829999999999998
Yuba,2011,9.5
Yuba,2012,8.0
Yuba,2013,8.175
Yuba,2014,8.6
Yuba,2015,7.585
Yuba,2016,6.795
