county,Year,median_ph_Result
Siskiyou,2014,8.29
Siskiyou,2015,8.2
Siskiyou,2016,8.15
Solano,2010,7.74
Solano,2011,7.71
Solano,2012,7.8
Solano,2013,7.87
Solano,2014,7.73
Solano,2015,7.965
Solano,2016,8.44
Solano,2017,7.13
Sonoma,2010,7.705
Sonoma,2011,7.925
Sonoma,2012,7.96
Sonoma,2013,7.81
Sonoma,2014,7.665
Sonoma,2015,7.64
Sonoma,2016,7.76
Sonoma,2017,7.76
Stanislaus,2010,7.71
Stanislaus,2011,7.51
Stanislaus,2012,7.86
Stanislaus,2013,7.9
Stanislaus,2014,8.004999999999999
Stanislaus,2015,7.8
Stanislaus,2016,7.61
Sutter,2010,7.585
Sutter,2011,7.72
Sutter,2012,7.57
Sutter,2013,7.66
Sutter,2014,7.88
Sutter,2015,7.825
Sutter,2016,7.475
Sutter,2017,7.395
Tehama,2010,7.9
Tehama,2011,7.945
Tehama,2012,7.8
Tehama,2013,7.9
Tehama,2014,7.91
Tehama,2015,8.2
Trinity,2010,8.01
Trinity,2011,8.28
Trinity,2012,8.26
Trinity,2013,8.0
Trinity,2014,7.3
Trinity,2015,8.4
Tulare,2010,7.73
Tulare,2011,7.8149999999999995
Tulare,2012,8.02
Tulare,2013,7.53
Tulare,2014,7.970000000000001
Tulare,2015,7.125
Tuolumne,2010,8.03
Tuolumne,2011,7.555
Tuolumne,2012,6.7
Tuolumne,2013,8.07
Tuolumne,2014,7.49
Tuolumne,2015,8.39
Ventura,2010,7.78
Ventura,2011,8.07
Ventura,2012,7.9
Ventura,2013,7.82
Ventura,2014,7.7
Ventura,2015,7.76
Ventura,2016,7.89
Ventura,2017,7.93
Yolo,2010,7.73
Yolo,2011,7.855
Yolo,2012,7.79
Yolo,2013,7.865
Yolo,2014,7.87
Yolo,2015,7.98
Yolo,2016,7.51
Yolo,2017,7.83
Yuba,2010,7.595
Yuba,2011,7.859999999999999
Yuba,2012,7.45
Yuba,2013,7.77
Yuba,2014,7.87
Yuba,2015,7.575
Yuba,2016,7.5
